id,first_name,last_name,email,phone,address,city,state,country,postal_code,status,date_created,date_completed,token,claimed_by
1,Molly,Johnston,molly.johnston@example.com,7362635127,2044 Morrison Ridge,Los Angeles,California,USA,01844,pending,2024-11-03 04:16:28,,47bc522b-a867-4b73-a77d-aaa28d12b801,12
2,Juan,Fisher,juan.fisher@example.com,8529272555,3408 Arnold Courts,San Jose,California,USA,41438,pending,2024-12-31 06:53:18,,e35e25d7-f38e-43bd-8240-344150bb8286,17
3,Andrea,Davies,andrea.davies@example.com,9850339185,414 Danielle Fields Suite 134,Los Angeles,California,USA,55043,pending,2024-12-25 20:04:16,,f8fc4398-c760-4318-88d8-beee2d669644,3
4,Keith,Fields,keith.fields@example.com,7108802187,588 Harmon Road Apt. 554,Los Angeles,California,USA,29334,in_progress,2024-11-10 00:51:11,,6a5ffcac-cabf-4792-9fa0-6b4290349624,18
5,Megan,Yates,megan.yates@example.com,5757490802,203 Hailey Bypass Suite 598,Sacramento,California,USA,37157,in_progress,2025-01-20 06:12:44,,8ddbf194-0871-4fab-8a0e-60ba29df2136,8
6,Stephanie,Jackson,stephanie.jackson@example.com,8698556363,8689 Victoria Throughway,San Jose,California,USA,53815,completed,2024-12-10 11:08:23,2024-12-12 21:46:18,f6dd8ea9-5956-47a3-b51a-89867e48b341,5
7,Austin,Smith,austin.smith@example.com,6762293066,25041 Jessica Mountains Apt. 351,Sacramento,California,USA,27410,completed,2025-01-16 00:17:23,2025-01-18 06:59:29,fd52114b-ee4f-44b2-afd7-93228221a4e9,3
8,Victoria,Glass,victoria.glass@example.com,5637993925,23690 Howard Circles,San Diego,California,USA,20452,completed,2024-12-05 09:41:21,2024-12-07 17:03:45,a5079ff8-e3ff-48bc-870e-4a14527bc744,17
9,Jacob,Carroll,jacob.carroll@example.com,2456367762,560 Stacey Loop Suite 787,San Diego,California,USA,26513,in_progress,2024-11-01 01:28:18,,d46e67fb-4114-4be1-b3d2-24e610b6ffa6,11
10,Sandra,Rodriguez,sandra.rodriguez@example.com,2162980336,881 Mcbride Manor,San Diego,California,USA,44625,pending,2025-01-01 01:16:42,,099aba6f-4497-4b18-9836-26ff4efb8fe3,5
11,Melinda,Pugh,melinda.pugh@example.com,8599468083,380 Joshua Heights Apt. 395,San Jose,California,USA,39196,completed,2024-11-15 22:18:25,2024-11-16 07:59:14,6e62146b-6db2-40e4-854b-9d64dc3c9955,9
12,Sydney,Brown,sydney.brown@example.com,5058051316,96922 Alyssa Common,Los Angeles,California,USA,53259,pending,2025-01-13 11:00:54,,38c2df06-0715-486b-abb7-97e1e23fff16,18
13,Andrea,Ramirez,andrea.ramirez@example.com,6150406569,93233 Mark Mission Suite 015,San Jose,California,USA,14132,in_progress,2024-12-02 13:37:39,,1da7fb1b-bc1b-47bd-ba57-afbc28d414ef,9
14,Susan,King,susan.king@example.com,2324507399,2783 Andrea Way,Sacramento,California,USA,53750,completed,2024-12-20 13:43:50,2024-12-20 15:45:11,c9239a29-7aef-400a-b433-4053cea9a2b8,7
15,Alexis,Wallace,alexis.wallace@example.com,1515835338,650 Michelle Isle Suite 216,San Jose,California,USA,17145,pending,2024-12-02 01:29:57,,32b59d36-2743-49bb-b795-64cec1b75df5,23
16,Tracy,Lowe,tracy.lowe@example.com,6818681630,521 Kathleen Vista,San Diego,California,USA,34428,completed,2024-12-04 22:25:19,2024-12-05 08:25:18,b4dca9fe-a632-4a2a-9496-9689f6866d1c,6
17,Victor,Buchanan,victor.buchanan@example.com,9547178629,71970 Joseph Mission,San Jose,California,USA,29240,in_progress,2024-11-02 01:41:46,,5bf0b5ac-e066-475a-abeb-e7f971d5696c,15
18,Daniel,Castillo,daniel.castillo@example.com,9393040352,65391 Byrd Circle,Los Angeles,California,USA,43082,pending,2024-12-12 19:22:10,,6da66913-415c-4577-9dd0-db68f1f43427,7
19,Charles,Davis,charles.davis@example.com,7418850277,00044 Smith Throughway Apt. 999,Los Angeles,California,USA,96974,completed,2024-12-19 09:05:14,2024-12-20 13:44:26,a3ba9b93-105c-4d90-b967-8a812d6415b9,23
20,Michael,Bailey,michael.bailey@example.com,7736167996,317 Greene Shoals,San Francisco,California,USA,25718,completed,2024-10-22 13:47:07,2024-10-23 02:15:33,26c03b44-ae3c-4929-a33d-fe70bac3c6b8,9
21,Jacob,Ramirez,jacob.ramirez@example.com,5079728579,5202 Keith Stream,Los Angeles,California,USA,38369,in_progress,2024-10-23 06:23:43,,660e96cf-b28d-427e-8ccb-f9a659065f94,13
22,Cheryl,Smith,cheryl.smith@example.com,6018658356,39780 Richardson Parks Apt. 300,San Diego,California,USA,91826,completed,2024-11-13 08:04:19,2024-11-13 13:51:01,ddf3e8e8-4042-44bf-9ff4-3f923041a810,6
23,Stacy,Mcgee,stacy.mcgee@example.com,5576442126,5176 Myers Crossing Apt. 598,Sacramento,California,USA,95312,pending,2024-12-25 14:37:04,,c323d292-fdd5-44fd-9a21-4b069e665ce9,21
24,Kendra,Fernandez,kendra.fernandez@example.com,6049597898,01648 Beth Trafficway Suite 077,San Diego,California,USA,34977,completed,2024-11-05 08:54:36,2024-11-10 09:34:26,aa70bfe8-4cdc-4032-9022-070a6ecbca64,8
25,Lance,Gonzalez,lance.gonzalez@example.com,5175413391,724 Peters Square Suite 708,San Diego,California,USA,30486,completed,2024-11-04 19:47:03,2024-11-11 16:15:19,207e11d9-ddf4-43b7-a563-6190884ed837,23
26,William,Banks,william.banks@example.com,8438594483,875 Stephanie River,San Jose,California,USA,66540,completed,2024-11-29 19:04:14,2024-11-30 03:23:47,c532198b-0125-4306-bb9a-2e0d86c8ff9b,8
27,Jay,Ward,jay.ward@example.com,1526982379,994 Charles Lake Apt. 510,San Francisco,California,USA,63935,in_progress,2024-11-16 18:30:56,,14f38272-2013-4048-a15f-441d3a10c47f,16
28,Andrew,Mcdaniel,andrew.mcdaniel@example.com,4570386828,70659 Carpenter Extensions Suite 578,San Francisco,California,USA,28494,pending,2024-12-01 13:20:47,,d4a2d941-0372-4ad5-b566-cafdf06438e2,23
29,Patrick,Odonnell,patrick.odonnell@example.com,3591713827,0062 Sergio Turnpike Suite 037,San Jose,California,USA,36726,completed,2025-01-11 05:46:40,2025-01-14 17:36:26,52798981-735a-453a-a231-f8697b810f11,18
30,John,Bullock,john.bullock@example.com,3907753640,762 Joshua Meadows Suite 552,Los Angeles,California,USA,80110,in_progress,2024-12-11 06:29:20,,e3303b39-7c01-4f44-8b8e-3dd00e3d5be8,6
31,Larry,Bauer,larry.bauer@example.com,9581743043,19596 Daugherty Garden Apt. 165,Los Angeles,California,USA,05122,completed,2024-11-12 08:43:30,2024-11-23 01:00:47,055e420a-5181-4296-8d3c-6f04a2c00404,21
32,Kathleen,Deleon,kathleen.deleon@example.com,7407616467,5715 Campbell Forges,San Francisco,California,USA,07926,pending,2025-01-17 20:47:12,,2481593f-cfbb-4a49-ad7f-b447525beeb9,7
33,Barbara,Vega,barbara.vega@example.com,9152897884,99653 Wright Flats Suite 438,Los Angeles,California,USA,52815,in_progress,2024-12-22 21:31:55,,1eb31764-4a8b-4d22-ba94-0b0e952084dd,11
34,Sarah,Graham,sarah.graham@example.com,3459743174,869 Warren Lights,San Diego,California,USA,60924,completed,2024-12-07 09:16:57,2024-12-11 21:36:40,0398d863-1b89-45e6-ac62-afec13eed30c,8
35,John,Martin,john.martin@example.com,5893474605,2528 Elliott Avenue,San Francisco,California,USA,09709,in_progress,2024-11-26 11:49:33,,21b01fb9-4007-467d-a3be-7fe25619ea85,16
36,Theresa,Jensen,theresa.jensen@example.com,9257168986,2776 Barker Row,San Diego,California,USA,86616,pending,2024-11-07 10:20:12,,bf74a421-820a-496f-8a3e-b2fb122cbe93,22
37,Sarah,Rush,sarah.rush@example.com,1867142582,75427 Nicholas Mill Apt. 124,Los Angeles,California,USA,32552,completed,2024-11-20 17:15:22,2024-11-24 05:00:24,6ac28021-5f47-46dd-8b5b-533526b4eb8a,4
38,John,Durham,john.durham@example.com,6919098371,44482 Williams Pass,San Francisco,California,USA,09675,completed,2025-01-16 13:07:33,2025-01-22 13:18:15,9697242c-1ad2-409b-b527-9f67b762fc5e,9
39,Michael,Good,michael.good@example.com,2774158863,3785 Sherri Vista Apt. 485,San Francisco,California,USA,40933,pending,2024-12-12 08:14:59,,3cb74a82-ebf7-4c55-8352-a278698002c5,3
40,Kenneth,Lambert,kenneth.lambert@example.com,7682162542,281 Brian Drives,San Jose,California,USA,27125,completed,2024-11-19 00:15:43,2024-11-22 18:04:18,2da05ca5-e09a-4c9b-98ff-cb74994b1a09,3
41,Stephanie,Miller,stephanie.miller@example.com,8549917641,641 Hopkins Cape,Sacramento,California,USA,56110,completed,2024-11-20 14:13:46,2024-11-27 20:08:12,47e4b04a-2ece-49d4-8bdc-2bc503094c56,17
42,Brenda,Brooks,brenda.brooks@example.com,8939427130,8701 Dillon Plain Apt. 227,San Francisco,California,USA,55436,pending,2024-11-11 13:15:36,,0786e761-272a-4c00-885f-30b7bc8b990f,16
